Account Trade History,,,,,,,,,,,
,05/31/23 12:50:00,STOCK,SELL,-1,TO CLOSE,SOUN,,,STOCK,1.5824,1.582399814362779,['MKT']
,05/30/23 13:13:00,STOCK,BUY,0,TO OPEN,AUPH,,,STOCK,80.49,80.48999055741916,['MKT']
,05/29/23 12:17:00,STOCK,SELL,-1,TO CLOSE,TSLA,,,STOCK,9.2677,9.267698912771692,['MKT']
,05/31/23 13:45:00,STOCK,SELL,-3,TO CLOSE,DD,,,STOCK,9.0036,9.003598943754245,['STP']
,05/26/23 13:20:00,STOCK,BUY,3,TO OPEN,DD,,,STOCK,2.1207,2.1206997512128067,['MKT']
,05/29/23 09:19:00,STOCK,SELL,-5,TO CLOSE,SLB,,,STOCK,2.0915,2.091499754638367,['MKT']
,05/31/23 11:47:00,STOCK,BUY,1,TO OPEN,SOUN,,,STOCK,3.0569,3.056899641383708,['MKT']
,05/26/23 09:45:00,STOCK,BUY,2,TO OPEN,CMMB,,,STOCK,2.1979,2.197899742156188,['MKT']
,05/29/23 12:37:00,STOCK,BUY,0,TO OPEN,TSLA,,,STOCK,3.0689,3.0688996399759434,['MKT']
,05/30/23 15:42:00,STOCK,BUY,52,TO OPEN,DD,,,STOCK,7.2952,7.295199144172995,['MKT']
,05/25/23 14:39:00,STOCK,BUY,0,TO OPEN,ATNF,,,STOCK,6.0896,6.089599285606408,['MKT']
,05/26/23 13:47:00,STOCK,SELL,-8,TO CLOSE,AUPH,,,STOCK,7.8274,7.827399081738635,['MKT']
,05/29/23 15:17:00,STOCK,BUY,49,TO OPEN,ATNF,,,STOCK,33.235,33.234996101078714,['MKT']
,05/30/23 10:54:00,STOCK,BUY,44,TO CLOSE,AUPH,,,STOCK,71.0664,71.06639166293668,['MKT']
,05/30/23 13:36:00,STOCK,BUY,4,TO OPEN,SPY,,,ETF,18.7141,18.714097804579424,['MKT']
,05/31/23 12:47:00,STOCK,SELL,-5,TO CLOSE,CMMB,,,STOCK,8.2767,8.276699029029583,['MKT']
,05/31/23 12:26:00,STOCK,SELL,-87,TO CLOSE,SLB,,,STOCK,4.8994,4.89939942523319,['MKT']
,05/31/23 13:59:00,STOCK,SELL,-2,TO CLOSE,ATNF,,,STOCK,229.6637,229.66367305729838,['MKT']
,05/30/23 11:32:00,STOCK,SELL,-776,TO CLOSE,SOUN,,,STOCK,265.6256,265.62556883847435,['STP']
,05/30/23 09:46:00,STOCK,BUY,4,TO OPEN,ATNF,,,STOCK,397.2271,397.2270533998136,['MKT']
,05/29/23 14:31:00,STOCK,BUY,9,TO CLOSE,TSLA,,,STOCK,9.6687,9.668698865728894,['MKT']
,05/31/23 13:26:00,STOCK,BUY,9,TO OPEN,DD,,,STOCK,1.9471,1.9470997715784677,['MKT']
,05/25/23 11:56:00,STOCK,BUY,9,TO OPEN,CMMB,,,STOCK,4.1332,4.133199515118958,['MKT']
,05/30/23 12:33:00,STOCK,SELL,-6,TO CLOSE,SOUN,,,STOCK,2.3903,2.3902997195850295,['MKT']
,05/25/23 12:10:00,STOCK,SELL,-2,TO CLOSE,SLB,,,STOCK,4.7674,4.7673994407186004,['MKT']
,05/29/23 10:06:00,STOCK,BUY,1,TO OPEN,SOUN,,,STOCK,8.8594,8.859398960670884,['MKT']
,05/31/23 11:56:00,STOCK,BUY,5,TO OPEN,SPY,,,ETF,8.0914,8.091399050767816,['MKT']
,05/29/23 12:40:00,STOCK,SELL,-5,TO CLOSE,TSLA,,,STOCK,8.9627,8.962698948552376,['MKT']
,05/26/23 09:49:00,STOCK,SELL,-6,TO CLOSE,CMMB,,,STOCK,59.921,59.92099297044494,['STP']
,05/30/23 10:48:00,STOCK,SELL,-6,TO CLOSE,SPY,,,ETF,2.3255,2.325499727186958,['MKT']
,05/25/23 15:18:00,STOCK,BUY,3,TO OPEN,SLB,,,STOCK,7.5537,7.553699113847399,['MKT']
,05/31/23 10:14:00,STOCK,BUY,6,TO OPEN,AUPH,,,STOCK,81.3783,81.37829045320939,['MKT']
,05/25/23 14:49:00,STOCK,BUY,19,TO OPEN,CMMB,,,STOCK,1.4083,1.4082998347870967,['MKT']
,05/31/23 13:58:00,STOCK,BUY,64,TO OPEN,TSLA,,,STOCK,8.414,8.41399901292241,['MKT']
,05/30/23 11:38:00,STOCK,BUY,10,TO OPEN,TSLA,,,STOCK,395.7814,395.7813535694141,['MKT']
,05/25/23 12:33:00,STOCK,BUY,4,TO OPEN,AUPH,,,STOCK,5.4041,5.404099366024958,['LMT']
,05/31/23 15:14:00,STOCK,SELL,-5,TO CLOSE,SPY,,,ETF,7.8654,7.865399077280714,['MKT']
,05/25/23 12:17:00,STOCK,BUY,9,TO OPEN,SPY,,,ETF,24.7493,24.7492970965677,['MKT']
,05/29/23 11:50:00,STOCK,BUY,10,TO OPEN,ATNF,,,STOCK,3.99,3.9899995319182815,['MKT']
,05/26/23 13:54:00,STOCK,SELL,-7,TO CLOSE,ATNF,,,STOCK,9.147,9.146998926931458,['MKT']
,05/30/23 14:37:00,STOCK,SELL,-93,TO CLOSE,ATNF,,,STOCK,7.55,7.5499991142814595,['STP']
,05/29/23 15:27:00,STOCK,BUY,1,TO OPEN,SPY,,,ETF,49.8703,49.87029414952989,['MKT']
,05/31/23 11:38:00,STOCK,SELL,-8,TO CLOSE,SOUN,,,STOCK,4.5749,4.574899463301491,['MKT']
,05/29/23 10:20:00,STOCK,BUY,91,TO OPEN,SLB,,,STOCK,5.6935,5.69349933207437,['MKT']
,05/29/23 10:29:00,STOCK,BUY,0,TO CLOSE,ATNF,,,STOCK,33.7562,33.75619603993481,['MKT']
,05/31/23 09:00:00,STOCK,BUY,2,TO CLOSE,AUPH,,,STOCK,272.3853,272.3852680454688,['MKT']
,05/30/23 12:28:00,STOCK,SELL,-4,TO CLOSE,SPY,,,ETF,7.8406,7.840599080190095,['MKT']
,05/31/23 13:17:00,STOCK,BUY,9,TO CLOSE,SOUN,,,STOCK,2.1792,2.1791997443499542,['STP']
,05/29/23 12:37:00,STOCK,SELL,-6,TO CLOSE,TSLA,,,STOCK,2.4861,2.4860997083463756,['MKT']
,05/31/23 11:02:00,STOCK,BUY,6,TO OPEN,CMMB,,,STOCK,7.8429,7.842899079920273,['MKT']
,05/31/23 12:40:00,STOCK,SELL,-3,TO CLOSE,AUPH,,,STOCK,18.8819,18.881897784894186,['STP']
,05/29/23 15:55:00,STOCK,SELL,-2,TO CLOSE,SOUN,,,STOCK,4.5641,4.564099464568478,['MKT']
,05/29/23 12:42:00,STOCK,SELL,-8,TO CLOSE,SLB,,,STOCK,7.2311,7.231099151692803,['STP']
,05/29/23 09:47:00,STOCK,BUY,3,TO OPEN,SLB,,,STOCK,1.7725,1.772499792061442,['MKT']
,05/26/23 14:08:00,STOCK,BUY,41,TO CLOSE,SPY,,,ETF,8.7584,8.758398972519567,['MKT']
,05/29/23 15:12:00,STOCK,BUY,61,TO OPEN,DD,,,STOCK,2.2434,2.243399736818414,['MKT']
,05/25/23 09:06:00,STOCK,BUY,6,TO OPEN,SOUN,,,STOCK,7.3253,7.325299140641851,['MKT']
,05/30/23 13:47:00,STOCK,BUY,3,TO OPEN,SOUN,,,STOCK,52.4151,52.415093850989955,['MKT']
,05/29/23 14:14:00,STOCK,BUY,9,TO OPEN,SLB,,,STOCK,23.955,23.95499718974998,['MKT']
,05/31/23 14:02:00,STOCK,BUY,1,TO OPEN,ATNF,,,STOCK,6.9915,6.991499179801169,['MKT']
,05/29/23 09:21:00,STOCK,SELL,-4,TO CLOSE,SPY,,,ETF,1.3402,1.3401998427761606,['MKT']
,05/29/23 12:12:00,STOCK,BUY,9,TO OPEN,SLB,,,STOCK,1.3283,1.3282998441721938,['MKT']
,05/25/23 12:52:00,STOCK,BUY,4,TO OPEN,TSLA,,,STOCK,5.2501,5.25009938409127,['MKT']
,05/29/23 09:38:00,STOCK,BUY,0,TO OPEN,AUPH,,,STOCK,54.0479,54.04789365944012,['MKT']
,05/29/23 14:14:00,STOCK,BUY,9,TO OPEN,CMMB,,,STOCK,49.4167,49.41669420274339,['MKT']
,05/30/23 11:38:00,STOCK,BUY,0,TO OPEN,SOUN,,,STOCK,20.4117,20.411697605427666,['MKT']
,05/29/23 12:02:00,STOCK,SELL,-8,TO CLOSE,SOUN,,,STOCK,3.7171,3.7170995639331936,['MKT']
,05/29/23 13:45:00,STOCK,SELL,-6,TO CLOSE,ATNF,,,STOCK,1.9685,1.968499769067954,['MKT']
,05/25/23 13:50:00,STOCK,SELL,-9,TO CLOSE,SOUN,,,STOCK,6.9605,6.960499183437894,['MKT']
,05/30/23 15:46:00,STOCK,BUY,1,TO OPEN,SLB,,,STOCK,9.9314,9.931398834910581,['MKT']
,05/31/23 15:38:00,STOCK,BUY,10,TO OPEN,ATNF,,,STOCK,9.3571,9.357098902283848,['MKT']
,05/30/23 15:59:00,STOCK,BUY,1,TO OPEN,SLB,,,STOCK,6.7637,6.763699206525233,['MKT']
,05/25/23 10:25:00,STOCK,BUY,8,TO CLOSE,SOUN,,,STOCK,86.7867,86.7866898187299,['STP']
,05/26/23 10:05:00,STOCK,BUY,7,TO CLOSE,SPY,,,ETF,5.642,5.641999338116026,['MKT']
,05/30/23 15:38:00,STOCK,BUY,3,TO OPEN,SLB,,,STOCK,65.0447,65.04469236936467,['MKT']
,05/30/23 15:17:00,STOCK,BUY,3,TO OPEN,TSLA,,,STOCK,3.5212,3.52119958691495,['MKT']
,05/30/23 14:55:00,STOCK,SELL,-6,TO CLOSE,AUPH,,,STOCK,5.3996,5.39959936655287,['LMT']
,05/31/23 09:28:00,STOCK,BUY,8,TO OPEN,TSLA,,,STOCK,6.9752,6.975199181713382,['MKT']
,05/30/23 10:48:00,STOCK,BUY,94,TO CLOSE,SOUN,,,STOCK,52.5898,52.58979383049524,['MKT']
,05/25/23 11:28:00,STOCK,BUY,6,TO OPEN,ATNF,,,STOCK,1.8542,1.8541997824769116,['MKT']
